title,platform,IGNScore,CommScore,CommRaters,genre,publisher,developer,releaseDate,reviewDate
Assassin's Creed II: Battle of Forli,Xbox 360,7.4,7.8,160,Action,Ubisoft,Ubisoft,28.01.2010,27.01.2010
Moki Moki,Wii,5,5,1,Puzzle,Natsume,Natsume,14.12.2009,26.01.2010
Blood Bowl,Xbox 360,6.4,6.3,45,Sports,SouthPeak Games,Cyanide,26.01.2010,29.01.2010
Blood Bowl,PC,6.4,7,45,Sports,SouthPeak Games,Cyanide,26.01.2010,29.01.2010
Vandal Hearts: Flames of Judgment,PlayStation 3,7.3,6.5,27,RPG,Konami,Hijinx Studios,21.01.2010,28.01.2010
Assassin's Creed II: Discovery,iPhone,7,7.9,31,Action,Ubisoft,Ubisoft,07.01.2010,01.02.2010
Silent Hill: Shattered Memories,PlayStation 2,8,7.8,97,Adventure,Konami,Climax Studios,19.01.2010,01.02.2010
Cogs,iPhone,8,7.6,4,Puzzle,Chillingo,Lazy 8 Studios,29.01.2010,01.02.2010
Chime,Xbox 360,8,7.8,48,Music,Valcon Games,OneBigGame,03.02.2010,01.02.2010
MAG,PlayStation 3,7,8,1781,Shooter,Sony Computer Entertainment,Zipper Interactive,26.01.2010,01.02.2010
Muscle March,Wii,6.1,7.1,24,Action,Bandai Namco Games,Bandai Namco Games,18.01.2010,02.02.2010
Tumble Bugs 2,Wii,6,5.6,3,Action,GameShastra,,01.02.2010,02.02.2010
SOCOM: U.S. Navy SEALs Fireteam Bravo 3,PlayStation Portable,8.4,8.7,166,Shooter,Sony Computer Entertainment,Slant Six Games,16.02.2010,02.02.2010
Pilotwings,Wii,7.5,8,20,Flight,Nintendo,Nintendo,28.12.2009,03.02.2010
Dante's Inferno,Xbox 360,7.5,8.2,1502,Action,Electronic Arts,Visceral Games,09.02.2010,03.02.2010
White Knight Chronicles (International Edition),PlayStation 3,5.1,7.8,697,RPG,Sony Computer Entertainment,Level-5,02.02.2010,03.02.2010
Dark Void Zero,Nintendo DSi,8.5,8.3,62,Action,Capcom,Other Ocean Interactive,18.01.2010,03.02.2010
Dante's Inferno (Divine Edition),PlayStation 3,7.5,8,1497,Action,Electronic Arts,Visceral Games,09.02.2010,03.02.2010
Sonic at the Olympic Winter Games,iPhone,5,7.9,5,Sports,SEGA,,01.02.2010,03.02.2010
Fret Nice,PlayStation 3,6.5,7.8,5,Music,Tecmo,Pieces Interactive,04.02.2010,04.02.2010
Pocket Chef,iPhone,7.5,7.5,1,Simulation,Gameloft,Gameloft,01.02.2010,04.02.2010
Vanquish: The Oath of Brothers,iPhone,7.6,8.2,3,Action,Gamevil,Gamevil,05.02.2010,05.02.2010
Super Smash Bros.,Wii,8,8.6,367,Fighting,Nintendo,HAL Laboratory,21.12.2009,04.02.2010
S.T.A.L.K.E.R. Call of Pripyat,PC,8.2,8.5,342,Shooter,BitComposer Games,GSC Game World,03.02.2010,05.02.2010
KrissX,Xbox 360,6.5,6.7,7,Puzzle,Blitz Arcade,Blitz Arcade,27.01.2010,05.02.2010
BioShock 2 (Special Edition),PlayStation 3,9.1,8.8,240,Shooter,2K Games,2K Marin,09.02.2010,05.02.2010
BioShock 2,PlayStation 3,9.1,8.7,2526,Shooter,2K Games,2K Marin,09.02.2010,05.02.2010
Crush the Castle,iPhone,7.9,8,16,Action,Armor Games,Armor Games,15.07.2009,05.02.2010
BioShock 2 (Special Edition),Xbox 360,9.1,9,254,Shooter,2K Games,2K Marin,09.02.2010,05.02.2010
BioShock 2,Xbox 360,9.1,8.8,4417,Shooter,2K Games,2K Marin,09.02.2010,05.02.2010
Military Madness: Neo Nectaris,iPhone,7,7,2,Strategy,Hudson Soft,Hudson Soft,08.02.2010,08.02.2010
Glory of Heracles,Nintendo DS,6,7.4,64,RPG,Nintendo,Paon Corporation,19.01.2010,05.02.2010
Mass Effect 2 (Collector's Edition),PC,9.6,9.5,387,RPG,Electronic Arts,BioWare,26.01.2010,08.02.2010
Mass Effect 2 (Collector's Edition),Xbox 360,9.6,9.6,1200,RPG,Electronic Arts,BioWare,26.01.2010,08.02.2010
Link 'n' Launch,Nintendo DSi,9,8.5,8,Action,Nintendo,Nintendo,08.02.2010,08.02.2010
Shadow of Destiny,PlayStation Portable,7.1,8.2,21,Adventure,Konami,Konami TYO,26.01.2010,09.02.2010
GT Racing: Motor Academy,iPhone,8.5,8.2,13,Racing,Gameloft,,08.02.2010,09.02.2010
Fieldrunners,Nintendo DSi,7.5,8.2,9,Strategy,Subatomic Studios,Subatomic Studios,08.02.2010,09.02.2010
Bloons,Wii,2,4,5,Action,Hands-On Mobile (aka MFORMA),Ninja Kiwi,08.02.2010,09.02.2010
Shiren the Wanderer,Wii,7,7.2,21,RPG,Atlus,Chunsoft,16.02.2010,09.02.2010
Bejeweled Twist,Nintendo DS,7,8.2,17,Puzzle,PopCap Games,Griptonite Games,19.01.2010,09.02.2010
Darwinia+,Xbox 360,8.9,7.7,49,Strategy,Introversion Software,Introversion Software,10.02.2010,09.02.2010
BioShock 2,PC,9.1,8.6,994,Shooter,2K Games,2K Marin,09.02.2010,09.02.2010
Hubert the Teddy Bear: Winter Games,Wii,5,3.2,3,Sports,Teyon,Teyon,08.02.2010,09.02.2010
Tales of Monkey Island -- Chapter 5: Rise of the Pirate God,Wii,8.1,7.9,17,Adventure,Telltale Games,Telltale Games,01.02.2010,10.02.2010
Sins of a Solar Empire: Diplomacy,PC,8,8.4,51,Strategy,Stardock Entertainment,Ironclad Games,09.02.2010,10.02.2010
Heavy Rain,PlayStation 3,9,9.1,7023,Adventure,Sony Computer Entertainment,Quantic Dream,23.02.2010,10.02.2010
VVVVVV,PC,7.5,8.1,104,Platformer,Distractionware,Distractionware,,10.02.2010
Doom II RPG,iPhone,8,7.9,10,RPG,ZeniMax Media,Fountainhead Entertainment,,10.02.2010
Super Monkey Ball: Step & Roll,Wii,7.8,7.1,28,Puzzle,SEGA,SEGA,09.02.2010,11.02.2010
Riddim Ribbon feat. Black Eyed Peas,iPhone,7.5,8.5,4,Music,Tapulous,Tapulous,08.02.2010,11.02.2010
Plants vs. Zombies,iPhone,9,9,447,Strategy,PopCap Games,PopCap Games,15.02.2010,12.02.2010
Tropico 3,Xbox 360,8.2,7.9,134,Strategy,Kalypso Media,Haemimont Games AD,16.02.2010,12.02.2010
Max & the Magic Marker,PC,7,7.9,11,Platformer,Press Play,Press Play,08.02.2010,12.02.2010
1000: Find 'Em All,iPhone,7,7.5,2,Adventure,Glu Mobile,Glu Mobile,04.02.2010,12.02.2010
Aliens vs. Predator,PlayStation 3,7,7.6,542,Action,SEGA,Rebellion,16.02.2010,16.02.2010
Data East Arcade Classics,Wii,5,7.6,13,Compilation,Majesco,G1M2,16.02.2010,16.02.2010
Blaster Master Overdrive,Wii,6.5,7.6,31,Action,Sunsoft,Sunsoft,08.02.2010,16.02.2010
Aliens vs. Predator,Xbox 360,7,7.8,1015,Action,SEGA,Rebellion,16.02.2010,16.02.2010
Ace Attorney Investigations: Miles Edgeworth,Nintendo DS,7.6,8.6,236,Adventure,Capcom,Capcom,16.02.2010,16.02.2010
Vempire,iPhone,6.7,6.6,4,Puzzle,Impressionware,Impressionware,22.10.2009,26.10.2009
DJ Hero,Wii,9,8.7,93,Music,Activision,FreeStyleGames,27.10.2009,26.10.2009
Guitar Hero: Van Halen,Xbox 360,4.9,6.5,191,Music,Activision,Underground Entertainment,22.12.2009,22.10.2009
WWE SmackDown vs. Raw 2010,Wii,8,8.5,76,Wrestling,THQ,Yuke's Media Creations,20.10.2009,20.10.2009
Arkanoid Plus!,Wii,8,7.5,11,Action,Taito,Taito,28.09.2009,08.10.2009
Monster Mayhem: Build and Battle,Wii,4.5,3,4,Action,Crave Entertainment,Brain Toys,15.09.2009,02.10.2009
iZombieland,iPhone,7.4,7.7,3,Action,Sony Pictures Mobile,Sony Pictures Mobile,21.09.2009,07.10.2009
Tropico 3,PC,8.4,8.2,203,Strategy,Kalypso Media,Haemimont Games AD,20.10.2009,16.10.2009
Clubhouse Games Express: Strategy Pack,Nintendo DSi,5.7,7,1,Card,Nintendo,Nintendo,21.09.2009,25.09.2009
Final Fight 2,Wii,7,7.6,12,Action,Capcom,Capcom,12.10.2009,12.10.2009
Super Robot Taisen OG Saga: Endless Frontier,Nintendo DS,8,8.4,71,RPG,Atlus,Monolith Software (JP),28.04.2009,18.09.2009
Altered Beast,Arcade,4,5.8,11,Fighting,SEGA,SEGA,01.01.1988,28.09.2009
Sonic & Knuckles,Xbox 360,7.5,8.1,146,Platformer,SEGA,Sonic Team,09.09.2009,14.09.2009
Out of the Park Baseball 10,PC,8,8.9,4,Sports,Out of the Park Developments,Out of the Park Developments,10.06.2009,08.09.2009
Soulcalibur: Broken Destiny,PlayStation Portable,8,8.3,212,Fighting,Bandai Namco Games,Project Soul,01.09.2009,28.08.2009
Professor Layton and The Diabolical Box,Nintendo DS,8.5,8.8,586,Adventure,Nintendo,Level-5,24.08.2009,24.08.2009
Spider: The Secret of Bryce Manor,iPhone,8.9,8.4,35,Platformer,Tiger Style,Tiger Style,11.08.2009,17.08.2009
PictureBook Games: Pop-Up Pursuit,Wii,6.1,6.5,2,Adventure,Nintendo,Nintendo,17.08.2009,17.08.2009
Electric Box,iPhone,7.6,8.5,3,Puzzle,,,05.08.2009,17.08.2009
The Revenge of Shinobi,Genesis,8,8.2,146,Action,SEGA,SEGA,18.06.1989,18.08.2009
Shadow Complex,Xbox 360,9.4,9,1648,Shooter,Microsoft Game Studios,Chair Entertainment,19.08.2009,17.08.2009
Fossil Fighters,Nintendo DS,5.9,8.2,75,Battle,Nintendo,Red Entertainment,10.08.2009,18.08.2009
The Revenge of Shinobi,Wii,8,8.5,15,Action,SEGA,SEGA,17.08.2009,18.08.2009
Bust-A-Move,iPhone,7.1,7.2,5,Platformer,Taito,Taito,03.09.2009,19.08.2009
Wolfenstein,PlayStation 3,7,7.8,266,Shooter,Activision,Raven Software,18.08.2009,19.08.2009
Wolfenstein,Xbox 360,7.3,7.8,454,Shooter,Activision,Raven Software,18.08.2009,18.08.2009
Real Heroes: Firefighter,Wii,7.7,8.7,14,Simulation,Conspiracy Entertainment,Epicenter Studios,11.08.2009,19.08.2009
3D Good vs. Evil,iPhone,6.8,7.9,2,Board,TAS Games,TAS Games,10.08.2009,19.08.2009
"Wallace & Gromit's Grand Adventures, Episode 4: The Bogey Man",PC,7.2,7.7,9,Adventure,Telltale Games,Telltale Games,30.07.2009,20.08.2009
Pro Cycling Manager: Tour de France 2009,Xbox 360,5.1,4.6,6,Racing,Focus Home Interactive,Cyanide,15.07.2009,20.08.2009
Wolfenstein,PC,7.3,7.5,215,Shooter,Activision,Raven Software,18.08.2009,20.08.2009
Osmos,PC,8.5,7.9,120,Puzzle,Hemisphere Games,Hemisphere Games,18.08.2009,20.08.2009
Rock Band Track Pack: Country,PlayStation 2,5,5.8,2,Music,MTV Games,Harmonix,21.07.2009,21.08.2009
Batman: Arkham Asylum,Xbox 360,9.3,9.3,5399,Action,Eidos Interactive,Rocksteady Studios,25.08.2009,21.08.2009
Batman: Arkham Asylum,PlayStation 3,9.3,9.3,7238,Action,Eidos Interactive,Rocksteady Studios,25.08.2009,21.08.2009
Smash Cars,PlayStation 3,7,7.1,41,Racing,TikGames,Creat Studios,20.08.2009,21.08.2009
Rock Band Track Pack: Country,Xbox 360,6.5,5.5,23,Music,MTV Games,Harmonix,21.07.2009,21.08.2009
Rock Band Track Pack: Country,Wii,5,6.4,8,Music,MTV Games,Harmonix,21.07.2009,21.08.2009
Rock Band Track Pack: Country,PlayStation 3,6.5,5.5,13,Music,MTV Games,Harmonix,21.07.2009,21.08.2009
Metroid Prime Trilogy,Wii,9.5,9.6,1765,Compilation,Nintendo,"Retro Studios, Inc.",24.08.2009,21.08.2009
Gangstar: West Coast Hustle,iPhone,7.9,8.2,14,Action,Gameloft,Gameloft,20.08.2009,23.08.2009
The Beatles: Rock Band (Limited Edition),Xbox 360,8,8.8,43,Music,MTV Games,Harmonix,09.09.2009,08.09.2009
Dirt 2,PlayStation Portable,4.2,6.7,34,Racing,Codemasters,Sumo Digital,08.09.2009,08.09.2009
Super Star Wars: Return of the Jedi,Wii,8.5,7.8,30,Action,LucasArts,Sculptured Software,07.09.2009,08.09.2009
LittleBigPlanet (Game of the Year Edition),PlayStation 3,9.5,9.1,1598,Platformer,Sony Computer Entertainment,Media Molecule,08.09.2009,09.09.2009
Madden NFL 10,iPhone,8,8.1,7,Sports,Electronic Arts,Electronic Arts,09.09.2009,09.09.2009
Dirt 2,Nintendo DS,8,7.4,11,Racing,Codemasters,Firebrand Games,08.09.2009,09.09.2009
Contra ReBirth,Wii,8.2,8.1,100,Shooter,Konami,M2,07.09.2009,09.09.2009
Disgaea 2: Dark Hero Days,PlayStation Portable,8.6,8.9,129,Strategy,NIS,NIS,08.09.2009,09.09.2009
Darkest of Days,PC,4,7,56,Shooter,Phantom EFX,8monkey Labs,08.09.2009,09.09.2009
Resident Evil 5,PC,9.3,8.5,661,Action,Capcom,Capcom,15.09.2009,10.09.2009
Darkest of Days,Xbox 360,3.6,5.6,43,Shooter,Phantom EFX,8monkey Labs,08.09.2009,09.09.2009
Mario & Luigi: Bowser's Inside Story,Nintendo DS,9.5,9.1,1234,Action,Nintendo,AlphaDream,15.09.2009,10.09.2009
Need for Speed Shift,PC,9,7.9,406,Racing,Electronic Arts,Slightly Mad Studios,15.09.2009,10.09.2009
Blades of Fury,iPhone,7.5,7.9,11,Fighting,Gameloft,Gameloft,08.09.2009,10.09.2009
Need for Speed Shift,PlayStation 3,9,8.4,954,Racing,Electronic Arts,Slightly Mad Studios,15.09.2009,10.09.2009
Modern Combat: Sandstorm,iPhone,8.3,7.8,24,Shooter,Gameloft,Gameloft,27.08.2009,10.09.2009
Need for Speed Shift,Xbox 360,9,8.3,783,Racing,Electronic Arts,Slightly Mad Studios,15.09.2009,10.09.2009
Batman: Arkham Asylum,PC,9.3,9.2,1522,Action,Eidos Interactive,Rocksteady Studios,15.09.2009,11.09.2009
Teenage Mutant Ninja Turtles: Turtles in Time Re-Shelled,PlayStation 3,5.9,6.8,210,Fighting,Konami,Konami,10.09.2009,11.09.2009
IL-2: Sturmovik: Birds of Prey,PlayStation 3,8.6,8.2,102,Flight,505 Games,1C Company,08.09.2009,11.09.2009
Naruto Shippuden: Ninja Destiny 2,Nintendo DS,7.5,7.9,45,Fighting,Tomy Corporation,Takara Tomy,15.09.2009,11.09.2009
Wet,Xbox 360,6.6,7.3,434,Action,Bethesda Softworks,A2M (Artificial Mind and Movement),15.09.2009,14.09.2009
Dexter: The Game,iPhone,8,8.5,27,Action,Marc Ecko Entertainment,Icarus Studios,14.09.2009,14.09.2009
NHL 10,Xbox 360,8.7,8.8,470,Sports,Electronic Arts,Electronic Arts,15.09.2009,14.09.2009
IL-2: Sturmovik: Birds of Prey,Xbox 360,8.6,8.2,96,Flight,505 Games,1C Company,08.09.2009,01.09.2009
Defense Grid: The Awakening,Xbox 360,8.9,8.3,157,Strategy,Hidden Path Entertainment,Hidden Path Entertainment,02.09.2009,01.09.2009
Guitar Hero 5,PlayStation 3,8.9,8.1,371,Music,Activision,Neversoft Entertainment,01.09.2009,01.09.2009
The Bigs 2,PlayStation 2,5.8,6.5,9,Sports,2K Sports,Blue Castle Games,07.07.2009,02.09.2009
Mr. Driller,iPhone,6.5,6.5,1,Puzzle,Namco Networks,Namco Networks,01.09.2009,02.09.2009
Brain Age Express: Sudoku,Nintendo DSi,8,8.1,11,Educational,Nintendo,Nintendo,17.08.2009,02.09.2009
Yo-Ho Kablammo!,Xbox 360,5.3,5.5,1,Action,Microsoft,Canalside Studios,02.09.2009,03.09.2009
Pop+ Solo,Nintendo DSi,7,7,4,Puzzle,Nnooo,Nnooo,24.08.2009,02.09.2009
Dirt 2,PlayStation 3,8.4,8.7,394,Racing,Codemasters,Codemasters,08.09.2009,03.09.2009
Raven Squad,Xbox 360,2,3.2,32,Action,Evolved Games,Atomic Motion,25.08.2009,03.09.2009
Raven Squad,PC,2,3.6,13,Shooter,Evolved Games,Atomic Motion,18.08.2009,03.09.2009
Warriors Orochi 2,PlayStation Portable,5.2,8.7,22,Action,KOEI,Omega Force,25.08.2009,03.09.2009
Fate/Unlimited Codes,PlayStation Portable,8.2,8.4,39,Fighting,Capcom,Eighting,03.09.2009,04.09.2009
Muramasa: The Demon Blade,Wii,8.9,8.8,645,Simulation,Ignition Entertainment,Vanillaware,08.09.2009,04.09.2009
Active Life: Extreme Challenge,Wii,5,6.4,6,Sports,Bandai Namco Games,Bandai Namco Games,11.08.2009,04.09.2009
Mana Khemia 2: Fall of Alchemy,PlayStation 2,8,8.5,36,RPG,NIS,Gust,25.08.2009,04.09.2009
Dirt 2,Xbox 360,8.4,8.7,516,Racing,Codemasters,Codemasters,08.09.2009,03.09.2009
The Beatles: Rock Band,Xbox 360,9,8.7,872,Music,MTV Games,Electronic Arts,09.09.2009,05.09.2009
The Beatles: Rock Band,Wii,9,8.9,202,Music,MTV Games,Electronic Arts,09.09.2009,05.09.2009
The Beatles: Rock Band,PlayStation 3,9,8.8,514,Music,MTV Games,Electronic Arts,09.09.2009,05.09.2009
Section 8,PC,8,7.1,123,Shooter,SouthPeak Games,TimeGate,04.09.2009,08.09.2009
Super Star Wars: Return of the Jedi,Super NES,8.5,8.2,341,Action,LucasArts,Sculptured Software,01.06.1994,08.09.2009
Section 8,Xbox 360,7.5,7.6,236,Shooter,SouthPeak Games,TimeGate,01.09.2009,08.09.2009
The Beatles: Rock Band (Limited Edition),Wii,8,9.2,10,Music,MTV Games,Harmonix,09.09.2009,08.09.2009
The Beatles: Rock Band (Limited Edition),PlayStation 3,8,8.9,26,Music,MTV Games,Harmonix,09.09.2009,08.09.2009
Super Star Wars: The Empire Strikes Back,Wii,7.5,8,28,Action,LucasArts,Sculptured Software,24.08.2009,24.08.2009
WarpForce,PC,4,6.5,8,RPG,Artix Entertainment,Artix Entertainment,17.07.2009,24.08.2009
Mr. Driller W,Wii,6.1,6.4,6,Puzzle,Bandai Namco Games,Bandai Namco Games,24.08.2009,25.08.2009
Super Star Wars: The Empire Strikes Back,Super NES,7.5,8,339,Action,LucasArts,Sculptured Software,01.06.1993,24.08.2009
Batman: Arkham Asylum (Collector's Edition),Xbox 360,9.3,9.4,177,Action,Eidos Interactive,Rocksteady Studios,25.08.2009,25.08.2009
Mass Effect: Pinnacle Station,Xbox 360,5,6.2,201,RPG,Microsoft,BioWare,25.08.2009,25.08.2009
Tales of Monkey Island -- Chapter 2: The Siege of Spinner Cay,PC,7.9,8.3,49,Adventure,Telltale Games,Telltale Games,20.08.2009,25.08.2009
Batman: Arkham Asylum (Collector's Edition),PlayStation 3,9.3,9.4,248,Action,Eidos Interactive,Rocksteady Studios,25.08.2009,25.08.2009
Watchmen: The End is Nigh -- Part 2,PlayStation 3,5,5.8,19,Action,Warner Bros. Interactive,Deadline Games,30.07.2009,26.08.2009
Watchmen: The End is Nigh -- Part 2,Xbox 360,5,4.8,19,Action,Warner Bros. Interactive,Deadline Games,26.08.2009,26.08.2009
NBA 2K10: Draft Combine,Xbox 360,7.5,7.9,49,Sports,2K Sports,Visual Concepts,26.08.2009,26.08.2009
Spectrobes: Origins,Wii,8,8.4,115,Action,Disney Interactive Studios,Genki,18.08.2009,26.08.2009
Invincible Tiger: The Legend of Han Tao,Xbox 360,6.6,7.3,11,Fighting,Bandai Namco Games,Blitz Arcade,26.08.2009,26.08.2009
Watchmen: The End is Nigh -- Part 2,PC,5,5.5,7,Action,Warner Bros. Interactive,Deadline Games,29.07.2009,26.08.2009
iMech,iPhone,8.5,8.5,4,Shooter,Flying Dino,Flying Dino,21.08.2009,26.08.2009
Invincible Tiger: The Legend of Han Tao,PlayStation 3,6.6,5.5,8,Fighting,Bandai Namco Games,Blitz Arcade,27.08.2009,28.08.2009
Spy Bot Chronicles,iPhone,7,8.6,4,Platformer,IUGO Mobile,IUGO Mobile,05.08.2009,28.08.2009
Cursed Mountain,Wii,7.5,7.5,101,Adventure,Deep Silver,Deep Silver,25.08.2009,27.08.2009
Tales of Monkey Island -- Chapter 2: The Siege of Spinner Cay,Wii,6.9,7.9,16,Adventure,Telltale Games,Telltale Games,31.08.2009,31.08.2009
Guitar Hero 5,Wii,9.3,8.8,210,Music,Activision,Vicarious Visions,01.09.2009,01.09.2009
Phantasy Star,Master System,8.5,-1,-1,RPG,SEGA,Tec Toy,,31.08.2009
Phantasy Star,Wii,8.5,8.4,30,RPG,SEGA,SEGA,31.08.2009,31.08.2009
Guitar Hero 5,Xbox 360,8.9,8,628,Music,Activision,Neversoft Entertainment,01.09.2009,01.09.2009
Wet,PlayStation 3,6.6,6.9,378,Action,Bethesda Softworks,A2M (Artificial Mind and Movement),15.09.2009,14.09.2009
NHL 10,PlayStation 3,8.7,8.7,385,Sports,Electronic Arts,Electronic Arts,15.09.2009,14.09.2009
Crash 'N' The Boys: Street Challenge,NES,8,7.8,15,Sports,American Technos,Technos,,15.09.2009
NHL 2K10,Xbox 360,6.7,6.9,43,Sports,2K Sports,Visual Concepts,15.09.2009,15.09.2009
GeoDefense Swarm,iPhone,8.2,7.8,8,Strategy,Critical Thought Games,Critical Thought Games,03.08.2009,15.09.2009
Majesty 2: The Fantasy Kingdom Sim,PC,7.5,7.7,76,Strategy,Paradox Interactive,1C Company,15.09.2009,15.09.2009
Marvel: Ultimate Alliance 2,PlayStation 3,7.7,7.9,768,Action,Activision,Vicarious Visions,15.09.2009,15.09.2009
Gran Turismo,PlayStation Portable,6.8,7.9,513,Racing,Sony Computer Entertainment,Polyphony Digital,01.10.2009,15.09.2009
Marvel: Ultimate Alliance 2,Xbox 360,7.7,8,1034,Action,Activision,Vicarious Visions,15.09.2009,15.09.2009
Raiden IV,Xbox 360,6,7.6,36,Shooter,UFO Interactive,Moss Ltd.,08.09.2009,15.09.2009
Scribblenauts,Nintendo DS,8.7,8.2,891,Puzzle,Warner Bros. Interactive,5th Cell,15.09.2009,15.09.2009
NHL 2K10,PlayStation 3,6.7,7.3,24,Sports,2K Sports,Visual Concepts,15.09.2009,15.09.2009
Zuma's Revenge,PC,8,7.8,27,Puzzle,PopCap Games,PopCap Games,15.09.2009,15.09.2009
Crash 'N' The Boys: Street Challenge,Wii,8,7.7,4,Sports,Aksys Games,Technos,14.09.2009,15.09.2009
Spaceball: Revolution,Wii,5.9,8.7,4,Puzzle,Virtual Toys,Virtual Toys,14.09.2009,16.09.2009
Red Faction: Guerrilla,PC,8,7.9,278,Shooter,THQ,Volition,15.09.2009,16.09.2009
Command & Conquer: Red Alert 3 -- Commander's Challenge,Xbox 360,7.5,7.5,34,Strategy,Electronic Arts,Electronic Arts,16.09.2009,17.09.2009
Dirt 2,Wii,4,7.1,17,Racing,Codemasters,Sumo Digital,08.09.2009,16.09.2009
Squareball,iPhone,9,7.9,30,Platformer,Independent,Independent,01.09.2009,16.09.2009
Champions Online,PC,7.6,7.4,267,RPG,Atari,Cryptic Studios,01.09.2009,16.09.2009
Bubble Bobble Neo!,Xbox 360,7.9,7.6,35,Puzzle,Taito,Taito,16.09.2009,17.09.2009
Marvel: Ultimate Alliance 2,Wii,5.8,7.1,91,Action,Activision,n-Space,15.09.2009,17.09.2009
Hip Hop All Star,iPhone,8,7.5,2,Music,Oberon Media,,27.09.2009,17.09.2009
Interpol: The Trail of Dr. Chaos,PlayStation 3,4.5,5.8,14,Adventure,TikGames,TikGames,17.09.2009,18.09.2009
Pinball Hall of Fame: The Williams Collection,PlayStation 3,8.5,8.5,35,Pinball,Crave Entertainment,FarSight Studios,22.09.2009,18.09.2009
IL-2: Sturmovik: Birds of Prey,PlayStation Portable,6.8,6.4,11,Flight,505 Games,1C Company,15.09.2009,18.09.2009
Pinball Hall of Fame: The Williams Collection,Xbox 360,8.5,8.7,33,Pinball,Crave Entertainment,FarSight Studios,22.09.2009,18.09.2009
Uncharted 2: Among Thieves,PlayStation 3,9.5,9.6,15423,Action,Sony Computer Entertainment,Naughty Dog Software,13.10.2009,18.09.2009
NHL 2K10,Wii,8,7.6,57,Sports,2K Sports,Visual Concepts,15.09.2009,18.09.2009
MySims Camera,Nintendo DSi,4,3.4,2,Productivity,Electronic Arts,Electronic Arts,21.09.2009,21.09.2009
"You, Me & The Cubes",Wii,8.5,7.7,13,Puzzle,Nintendo,FYTO (From Yellow to Orange),21.09.2009,21.09.2009
Aera,iPhone,6.5,8.3,2,Flight,iChromo,iChromo,18.09.2009,21.09.2009
Halo 3: ODST,Xbox 360,9,8.4,7510,Shooter,Microsoft Game Studios,Bungie Software,22.09.2009,19.09.2009
Wizards of Waverly Place,Nintendo DS,5,4.8,5,Adventure,Disney Interactive Studios,,25.08.2009,22.09.2009
Need for Speed Shift,PlayStation Portable,6,7.2,62,Racing,Electronic Arts,Electronic Arts,15.09.2009,21.09.2009
Hybrid: Eternal Whisper,iPhone,8,8.2,9,Action,Gamevil,Gamevil,18.09.2009,22.09.2009
Bit Boy,Wii,5.5,5.6,7,Action,Bplus,Bplus,13.07.2009,22.09.2009
Golvellius: Valley of Doom,iPhone,7.3,7,2,Action,DotEmu,D4 Enterprise,22.09.2009,22.09.2009
Mini Ninjas,Wii,7.6,7.9,51,Action,Eidos Interactive,Io Interactive,08.09.2009,22.09.2009
Ninja Gaiden Sigma 2,PlayStation 3,8.4,8.6,656,Action,Tecmo,Team Ninja,29.09.2009,22.09.2009
Mini Ninjas,PlayStation 3,8,8.1,223,Action,Eidos Interactive,Io Interactive,08.09.2009,22.09.2009
Mini Ninjas,Xbox 360,8,7.9,157,Action,Eidos Interactive,Io Interactive,08.09.2009,22.09.2009
Teenage Mutant Ninja Turtles: Smash-Up,Wii,7,7.3,89,Fighting,Ubisoft,Game Arts,22.09.2009,22.09.2009
Katamari Forever,PlayStation 3,7,8.3,208,Action,Bandai Namco Games,Bandai Namco Games,22.09.2009,23.09.2009
The Last Ninja 2: Back with a Vengeance,Wii,7.5,7.3,4,Action,System 3 Arcade Software,System 3 Arcade Software,21.09.2009,23.09.2009
Spyborgs,Wii,7.5,7.5,26,Adventure,Capcom,Bionic Games,22.09.2009,22.09.2009
James Patterson's Women's Murder Club: Games of Passion,Nintendo DS,6,5.7,4,Adventure,THQ,Griptonite Games,22.09.2009,23.09.2009
IL-2: Sturmovik: Birds of Prey,Nintendo DS,3.5,5.2,6,Flight,1C Company,DiP Interactive,15.09.2009,23.09.2009
Scooby-Doo! First Frights,Wii,5,7.2,18,Action,Warner Bros. Interactive,Torus Games,22.09.2009,28.09.2009
Monster Mayhem: Build and Battle,Nintendo DS,4,4,1,Action,Crave Entertainment,,01.09.2009,28.09.2009
Tales of Monkey Island -- Chapter 3: Lair of the Leviathan,PC,8,8.2,47,Adventure,Telltale Games,Telltale Games,29.09.2009,29.09.2009
Brain Challenge 2: Think Again!,iPhone,7.5,7.1,5,Educational,Gameloft,Gameloft,18.09.2009,28.09.2009
Bass Pro Shops: The Strike,Xbox 360,4.5,7.7,35,Hunting,XS Games,Psyclone,29.09.2009,29.09.2009
Beaterator,PlayStation Portable,8,7.8,28,Music,Rockstar Games,Rockstar Leeds,29.09.2009,29.09.2009
Left 4 Dead -- Crash Course,PC,8,8.1,37,Shooter,Electronic Arts,Valve,29.09.2009,29.09.2009
Dragon Quest Wars,Nintendo DSi,8.5,7.8,30,RPG,Square Enix,Intelligent Systems,28.09.2009,29.09.2009
Driift,Wii,8,7.1,16,Racing,Konami,Konami,28.09.2009,29.09.2009
Left 4 Dead -- Crash Course,Xbox 360,8,7.7,143,Shooter,Electronic Arts,Valve,29.09.2009,29.09.2009
MySims Agents,Nintendo DS,4.9,6.3,19,Adventure,Electronic Arts,The Sims Studio,29.09.2009,29.09.2009
