title,platform,IGNScore,CommScore,CommRaters,genre,publisher,developer,releaseDate,reviewDate
MLB 14: The Show,PlayStation 4,8.1,8.6,65,Sports,Sony Computer Entertainment,SCE Studios,06.05.2014,04.04.2014
The Elder Scrolls Online,PC,7.8,7.7,362,RPG,Bethesda Softworks,ZeniMax Online Studios,04.04.2014,31.03.2014
Dead Nation: Apocalypse Edition,PlayStation 4,8,7.6,195,Shooter,Sony Computer Entertainment,Housemarque,04.03.2014,04.04.2014
MLB 14: The Show,PlayStation 3,8.1,8.4,52,Sports,Sony Computer Entertainment,SCE Studios,01.04.2014,04.04.2014
Don Bradman Cricket 14,Xbox 360,6.8,9.3,14,Sports,Home Entertainment Suppliers,Big Ant Studios,,07.04.2014
LEGO: The Hobbit,PlayStation 4,7.4,7.9,37,Adventure,Warner Bros. Interactive,TT Games,11.04.2014,10.04.2014
The Wolf Among Us: Episode 3 -- A Crooked Mile,Xbox 360,9.2,8.9,10,Adventure,Telltale Games,Telltale Games,09.04.2014,08.04.2014
Kinect Sports Rivals,Xbox One,7.3,7.1,30,Sports,Microsoft Game Studios,Rare,08.04.2014,07.04.2014
LEGO: The Hobbit,Xbox One,7.4,7.6,15,Adventure,Warner Bros. Interactive,TT Games,11.04.2014,10.04.2014
Don Bradman Cricket 14,PlayStation 3,6.8,9.1,35,Sports,Home Entertainment Suppliers,Big Ant Studios,,07.04.2014
MLB 14: The Show,PlayStation Vita,7.1,8,19,Sports,Sony Computer Entertainment,SCE Studios,01.04.2014,11.04.2014
The Wolf Among Us: Episode 3 -- A Crooked Mile,PlayStation 3,9.2,9.4,23,Adventure,Telltale Games,Telltale Games,09.04.2014,08.04.2014
Pure Chess,Wii U,6,8,1,Board,Ripstone Games,VooFoo Studios,20.03.2014,15.04.2014
Football Manager Classic 2014,PlayStation Vita,7.5,6.3,6,Sports,SEGA,Sports Interactive (SI Interactive),06.05.2014,11.04.2014
Pure Chess,PlayStation 4,6,7.2,8,Board,,VooFoo Studios,15.04.2014,15.04.2014
RBI Baseball 14,PlayStation 3,4.5,3.2,6,Baseball,TBA,MLBAM,09.04.2014,15.04.2014
Boom Beach,iPhone,7,6.9,19,,Supercell,Supercell,26.03.2014,16.04.2014
Pure Chess,PlayStation 3,6,7,14,Board,,VooFoo Studios,29.05.2012,15.04.2014
Pure Chess,PlayStation Vita,6,7,27,Board,,VooFoo Studios,29.05.2012,15.04.2014
Trials Fusion,PlayStation 4,8.2,8.4,70,Racing,Ubisoft,RedLynx,16.04.2014,16.04.2014
Trials Fusion,Xbox One,8.2,7.5,38,Racing,Ubisoft,RedLynx,16.04.2014,16.04.2014
Trials Fusion,Xbox 360,8.2,8.5,40,Racing,Ubisoft,RedLynx,16.04.2014,16.04.2014
Trials Fusion,PC,8.2,8.3,17,Racing,Ubisoft,RedLynx,24.04.2014,16.04.2014
Ether One,PC,7.9,9,1,Adventure,White Paper Games,White Paper Games,25.03.2014,18.04.2014
LEGO: The Hobbit,Nintendo 3DS,7,8.3,6,Adventure,Warner Bros. Interactive,TT Games,11.04.2014,21.04.2014
War of the Vikings,PC,3.5,4,12,,Paradox Interactive,Fatshark,15.04.2014,23.04.2014
2014 FIFA World Cup Brazil,Xbox 360,7.5,6.9,27,Sports,Electronic Arts,Electronic Arts,15.04.2014,17.04.2014
